scheme_code,isin_growth,isin_div_reinv,scheme_name
118656,INF204K01E05,,Nippon India Floater Fund  - Direct Plan Growth Plan - Growth Option
118669,INF204K01E70,,Nippon India Gilt  Fund - Direct Plan - P F Option - Automatic Capital Appreciation Payout Option
118672,INF204K01XP8,,Nippon India Gilt  Fund - Direct Plan Growth Plan - Growth Option
118673,INF204K01E88,,Nippon India Gilt  Fund - Direct Plan - P F Option - Defined Maturity Date Option
118674,,INF204K01E62,Nippon India Gilt Fund - Direct Plan - P F Option - Automatic Annual Reinvest Option
118679,INF204K01F38,,Nippon India Medium to Long Duration  Fund - Direct Plan Growth Plan-Bonus Option
118687,INF204K01XS2,,Nippon India Medium to Long Duration Fund - Direct Plan Growth Plan - Growth Option
118701,INF204K01ZH0,,Nippon India Liquid Fund - Direct Plan Growth Plan - Growth Option
118702,INF204K01G03,,Nippon India Low Duration Fund - Direct Plan Growth Plan - Bonus Option
118709,INF204K01ZU3,,Nippon India Low Duration Fund - Direct Plan Growth Plan - Growth Option
118715,INF204K01G11,,Nippon India Money Market Fund - Direct Plan Growth Plan - Bonus Option
118719,INF204K01ZP3,,Nippon India Money Market Fund - Direct Plan Growth Plan - Growth Option
118747,INF204K01A25,,Nippon India Dynamic Bond Fund - Direct Plan Growth Plan - Growth Option
118780,INF204K01A74,,Nippon India Credit Risk Fund - Direct Plan - Growth Plan
118807,INF204K01D63,,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Bonus
118814,INF204K01C15,,Nippon India Corporate Bond Fund - Direct Plan Growth Plan - Growth Option
118840,INF769K01BO9,,Mirae Asset Low Duration Fund - Direct Plan - Growth
118859,INF769K01CM1,,Mirae Asset Liquid Fund - Direct Plan - Growth
118924,INF740K01MZ3,,DSP Bond Fund - Direct Plan - Growth
118942,INF179K01VF7,,HDFC Low Duration  Fund - Direct Plan - Growth
118961,INF179K01VQ4,,HDFC Floating Rate Debt Fund - Direct Plan - Growth Option
118987,INF179K01XD8,,HDFC Corporate Bond Fund - Growth Option - Direct Plan
119016,INF179K01YM7,,HDFC Short Term  Debt Fund - Growth Option - Direct Plan
119069,INF179K01WL3,,HDFC Income Fund - Growth Option - Direct Plan
119075,INF179K01WB4,,HDFC Dynamic Debt Fund - Growth Option - Direct Plan
119081,INF179K01WI9,,HDFC Medium Term Debt Fund - Growth Option - Direct Plan
119082,INF740K01OS4,,DSP Credit Risk Fund - Direct Plan - Growth
119091,INF179KB1HP9,,HDFC Liquid Fund - Growth Option - Direct Plan
119092,INF179KB1HU9,,HDFC Money Market Fund - Growth Option - Direct Plan
119097,INF277K01MV5,,Tata Dynamic Bond Fund- Direct Plan-Growth Option
119099,INF740K01NF3,,DSP Gilt Fund - Direct Plan - Growth
119106,INF740K01NU2,,DSP Savings Fund - Direct Plan - Growth
119110,INF179KB1HT1,,HDFC Overnight Fund - Growth Option - Direct Plan
119116,INF179K01VS0,,HDFC Gilt Fund - Growth Option - Direct Plan
119125,INF740K01QL4,,DSP Liquidity Fund - Direct Plan - Growth
119127,INF277K01PI5,,Tata Medium Term Fund- Direct Plan- Growth Option
119135,INF666M01451,,Groww Liquid Fund ( formerly known as Indiabulls Liquid )Fund - Direct Plan - Growth Option
119136,,INF666M01469,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund) - Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)
119137,INF666M01527,INF666M01477,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
119138,INF666M01501,INF666M01485,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
119139,INF666M01519,INF666M01493,Groww Liquid Fund (formerly known as Indiabulls Liquid Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
119164,INF959L01GF1,,Navi Liquid Fund-Direct Plan-Growth Option
119226,INF740K01NJ5,,DSP Short Term Fund - Direct Plan - Growth
119239,INF740K01QG4,,DSP Strategic Bond Fund - Direct Plan - Growth
119303,INF582M01674,,Union Liquid Fund - Direct Plan - Growth Option
119311,INF582M01799,,Union Dynamic Bond Fund - Direct Plan - Growth Option
119341,INF955L01AD7,,Baroda BNP Paribas GILT FUND - Direct Plan - Growth Option
119369,INF761K01785,,BANK OF INDIA Liquid Fund- Direct Plan- Growth
119382,INF761K01736,,BANK OF INDIA Short Term Income Fund-Direct Plan- Growth
119393,INF761K01819,,BANK OF INDIA Conservative Hybrid Fund Fund-Direct Plan-Growth
119400,INF955L01BD5,,Baroda BNP Paribas Short Duration Fund - Direct Plan - Growth Option
119415,INF955L01AL0,,Baroda BNP Paribas LIQUID FUND - DIRECT PLAN - GROWTH OPTION
119424,INF277K01PR6,,Tata Money Market Fund- Direct Plan- Growth Option
119498,INF209K01XK8,,Aditya Birla Sun Life Short Term Fund - Growth - Direct Plan
119505,INF209K01N82,,Aditya Birla Sun Life Dynamic Bond Fund - Growth - Direct Plan
119511,INF209K01UU3,,Aditya Birla Sun Life Money Manager Fund - Growth - Direct Plan
119523,INF209K01XU7,,Aditya Birla Sun Life Low duration Fund - Growth - Direct Plan
119533,INF209K01S38,,Aditya Birla Sun Life Corporate Bond Fund - Growth - Direct Plan
119539,INF209K01XA9,,Aditya Birla Sun Life Medium Term Plan - Growth - Direct Plan
119550,INF209K01YN0,,Aditya Birla Sun Life Banking & PSU Debt Fund- Direct Plan-Growth
119568,INF209K01VA3,,Aditya Birla Sun Life Liquid Fund - Growth - Direct Plan
119605,INF209K01XP7,,Aditya Birla Sun Life Government Securities Fund - Growth - Direct Plan
119621,INF903J01NR4,,Sundaram Corporate Bond Fund Direct Plan - Growth
119625,INF903J01PA5,,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Growth
119629,INF903J01RI4,,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking and PSU Debt Fund) Direct Plan - Bonus
119657,INF209K01WY1,,Aditya Birla Sun Life Income Fund - Growth - Direct Plan
119671,INF200K01RD4,,SBI Dynamic Bond Fund - DIRECT PLAN - Growth
119675,INF903J01PO6,,Sundaram Medium Duration Fund (Formerly Known as Sundaram Medium Term Bond Fund) Direct Plan - Growth
119707,INF200K01SH3,,SBI GILT FUND - DIRECT PLAN - GROWTH
119712,INF200K01SO9,,SBI Medium to Long Duration Fund-DIRECT PLAN - Bonus
119714,INF200K01SR2,,SBI Medium to Long Duration Fund-DIRECT PLAN -Growth
119735,INF174K01JC0,,Kotak Bond Fund - Growth - Direct
119740,INF174K01MG5,,Kotak Credit Risk Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option
119741,INF174K01LZ7,,Kotak Credit Risk Fund - Growth - Direct
119746,INF174K01MW2,,Kotak Money Market Fund - (Growth) - Direct
119747,INF174K019O8,INF174K01MX0,Kotak Money Market Fund - (Monthly Payout of Income Distribution cum capital withdrawal option) - Direct
119753,INF174K01JX6,,Kotak Dynamic Bond Fund - Direct Plan - Standard Income Distribution cum capital withdrawal option
119755,INF174K01JU2,,Kotak Dynamic Bond Fund - Growth - Direct
119757,INF174K01KM7,,Kotak Gilt-Investment  Provident Fund and Trust-Growth - Direct
119758,INF174K01KF1,,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option - Direct
119759,INF174K01KE4,,Kotak Gilt-Investment Regular-Growth - Direct
119764,,INF174K01NH1,Kotak Liquid Fund - Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option
119766,INF174K01NE8,,Kotak Liquid Fund - Direct Plan - Growth
119798,INF200K01SV4,,SBI CREDIT RISK FUND - DIRECT PLAN -GROWTH
119800,INF200K01UT4,,SBI Liquid Fund - DIRECT PLAN -Growth
119812,INF200K01VM7,,SBI LOW DURATION FUND - DIRECT PLAN - GROWTH
119821,INF200K01SZ5,,SBI  SAVINGS FUND - DIRECT PLAN - GROWTH
119824,INF200K01VB0,,SBI MEDIUM DURATION FUND - DIRECT PLAN - GROWTH
119833,INF200K01TK5,,SBI OVERNIGHT FUND - DIRECT PLAN - GROWTH
119861,INF277K01YE6,,Tata Liquid Fund- Direct Plan-Growth Option
119863,INF277K01OK4,,Tata Treasury Advantage Fund - Direct Plan - Growth Option
119875,INF277K01PC8,INF277K01PD6,TATA Income Fund Direct Plan - Periodic Payout of Income Distribution cum capital withdrawal option
119876,INF277K01OY5,,Tata Income Fund - Direct Plan - Growth Option
119953,INF277K01OX7,,Tata Gilt Securities Fund- Direct Plan - Growth Option
120038,INF336L01CC8,,HSBC Liquid Fund -  Growth Direct
120059,INF336L01DE2,,HSBC Medium to Long Duration Fund - Direct Growth
120084,INF663L01AD7,,PGIM India Dynamic Bond Fund - Direct Plan-Growth Option
120137,INF200K01SK7,,SBI CONSTANT MATURITY 10 YEAR GILT FUND - DIRECT PLAN - GROWTH
120197,INF109K01Q49,,ICICI Prudential Liquid Fund - Direct Plan - Growth
120211,INF109K01R14,,ICICI Prudential Money Market Fund Option - Direct Plan -  Growth
120249,INF767K01DN1,,LIC MF Liquid Fund-Direct Plan-Growth
120256,INF109K010A6,,ICICI Prudential Banking and PSU Debt Fund - Direct Plan -  Growth
120279,INF767K01EW0,,LIC MF Medium to Long Duration Fund-Direct Plan-Growth
120282,INF767K01EZ3,,LIC MF Gilt Fund-Direct Plan-Growth
120299,INF789F01XV6,,UTI MMF - Direct Plan - Growth Option
120304,INF789F01XQ6,,UTI-  Liquid Cash Plan - Direct Plan - Growth Option
120315,INF767K01FM8,,LIC MF Low Duration Fund-Direct Plan-Growth
120338,INF767K01GI4,,LIC MF Banking & PSU Fund-Direct Plan-Growth
120389,INF846K01CX4,,Axis Liquid Fund - Direct Plan - Growth Option
120398,INF109K01O82,,ICICI Prudential Savings Fund - Direct Plan - Growth
120406,INF192K01CM6,,JM Liquid Fund (Direct) - Growth Option
120410,INF192K01CN4,,JM Liquid Fund (Direct) - Bonus Option - Bonus Option - Principal units
120425,INF109K01P57,,ICICI Prudential Floating Interest Fund - Direct Plan - Growth
120428,INF192K01CX3,,JM Medium to Long Duration Fund (Direct) - Bonus Option - Principal Units
120430,INF192K01CW5,,JM Medium to Long Duration Fund (Direct) - Growth Option
120435,INF192K01DD3,,JM Dynamic Bond Fund - (Direct) - Growth Option
120438,INF846K01CR6,,Axis Banking & PSU Debt Fund - Direct Plan - Growth Option
120444,INF205K01KT4,,Invesco India Banking and PSU Fund - Direct Plan -  Growth Option
120447,INF846K01DD4,,Axis Gilt Fund - Direct Plan - Growth Option
120451,INF846K01DI3,,Axis Dynamic Bond Fund - Direct Plan - Growth Option
120475,INF846K01DT0,,Axis Strategic Bond Fund - Direct Plan - Growth Option
120497,INF205K01RF8,,Invesco India Corporate Bond Fund - Direct Plan - Growth
120507,INF205K01RY9,,Invesco India Money Market Fund - Direct Plan - Growth
120510,INF846K01EI1,,Axis Short Duration Fund - Direct Plan - Growth Option
120513,INF846K01EN1,,Axis Treasury Advantage Fund - Direct Plan - Growth Option
120520,INF205K01SN0,,Invesco India Gilt Fund - Direct  Plan - Growth
120537,INF205K01MF9,,Invesco India Liquid Fund - Direct Plan - Growth
120570,INF205K01NY8,,Invesco India Low Duration Fund - Direct Plan - Growth
120590,INF109K018C5,,ICICI Prudential Gilt Fund - Direct Plan - Growth
120603,INF109K016E5,,ICICI Prudential All Seasons Bond Fund - Direct Plan - Growth
120608,INF109K014D2,,ICICI Prudential Short Term Gilt Fund - Direct Plan -  Growth
120619,INF109K01V83,,ICICI Prudential Bond Fund - Direct Plan - Growth
120670,INF109K015A5,,ICICI Prudential Medium Term Bond Fund - Direct Plan - Growth
120689,INF789F01SQ6,,UTI Medium to Long Duration Fund-Growth - Direct
120692,INF109K016B1,,ICICI Prudential Corporate Bond Fund - Direct Plan - Growth
120711,INF109K01V00,,ICICI Prudential Credit Risk Fund - Direct Plan - Growth
120735,INF789F01XI3,,UTI Low Duration Fund - Direct Plan - Growth Option
120738,INF789F01XH5,,UTI Low Duration Fund - Direct Plan - Bonus Option
120743,INF109K017L8,,ICICI Prudential Long Term Bond Fund - Direct Plan - Growth
120754,INF109K013N3,,ICICI Prudential Short Term Fund - Direct Plan - Growth Option
120762,INF789F01XD4,,UTI Dynamic Bond Fund - Direct Plan - Growth Option
120764,INF789F01YB6,,UTI Credit Risk Fund - Direct Plan - Growth Option
120785,INF789FB1S71,,UTI - Overnight Fund - Direct Plan - Growth Option
120792,INF789F01TL5,,UTI - GILT FUND - Direct Plan - Growth Option
120837,INF966L01820,,quant Liquid Fund - Growth Option - Direct Plan
121279,INF194K015G8,,Bandhan Banking and PSU Fund - Direct Growth
122315,INF192K01EZ4,,JM Dynamic Bond Fund - (Direct) - Bonus Option-Principal Units
122646,INF209K01UX7,,Aditya Birla Sun Life Floating Rate Fund-Direct Plan-Growth
122715,INF579M01266,,360 ONE Dynamic Bond Fund Direct Plan Growth
122909,INF109KA1368,,ICICI Prudential Short Term Fund - Direct Plan - Bonus
123692,INF174K01KK1,INF174K01KL9,Kotak Banking and PSU Debt Direct - Monthly Payout of Income Distribution cum capital withdrawal option
123693,INF174K01KH7,,Kotak Banking and PSU Debt Direct - Growth
123704,INF666M01AC0,,Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund) - Direct Plan - Growth Option
123705,INF666M01AG1,INF666M01AD8,Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
123706,INF666M01AH9,INF666M01AE6,Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
123707,INF666M01AI7,INF666M01AF3,Groww Short Duration Fund (formerly known as Indiabulls Short Term Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
124175,INF740K01ZW2,,DSP Banking & PSU Debt Fund - Direct Plan - Growth
125345,INF579M01621,,360 ONE LIQUID FUND DIRECT PLAN  GROWTH
125503,INF200K01V08,,SBI BANKING & PSU FUND - Direct Plan - Growth
126685,INF760K01HB2,,CANARA ROBECO CORPORATE BOND FUND - DIRECT PLAN - GROWTH OPTION
126940,INF789F015Z6,,UTI Banking & PSU Fund - Direct Plan - Growth Option
128006,INF174K01VQ5,,Kotak Medium Term Fund - Direct Growth
128051,INF179KA1FZ3,,HDFC Credit Risk Debt Fund - Growth Option - Direct Plan
128079,INF174K01VS1,INF174K01VU7,Kotak Medium Term Fund - Direct - Standard Income Distribution cum capital withdrawal option
128629,INF179KA1IZ7,,HDFC Banking and PSU Debt Fund - Growth Option - Direct Plan
128952,INF846K01NF8,,Axis Banking & PSU Debt Fund - Direct Plan - Bonus Option
128954,INF846K01NH4,,Axis Liquid Fund - Direct plan - Bonus Option
128957,INF846K01NJ0,,Axis Gilt Fund - Direct Plan - Bonus Option
128961,INF846K01NQ5,,Axis Treasury Advantage Fund - Direct Plan - Bonus Option
129008,INF090I01KR8,,Franklin India Banking & PSU Debt Fund - Direct - Growth
130050,INF204KA1QF1,,Nippon India Medium Duration Fund - Direct Plan - Growth Option
130052,INF204KA1QG9,,Nippon India Medium Duration Fund - Direct Plan - Bonus Option
130314,INF846K01PJ5,,Axis Credit Risk Fund - Direct Plan - Growth
130722,INF205K01I83,,Invesco India Credit Risk Fund - Direct Plan - Growth
130934,INF109KA1G86,,ICICI Prudential Liquid Fund - Direct Plan Bonus
130936,INF109KA1B81,,ICICI Prudential Medium Term Bond Fund - Direct Plan Bonus
130938,INF109KA1H28,,ICICI Prudential All Seasons Bond Fund - Direct Plan Bonus
130944,INF109KA1I19,,ICICI Prudential Credit Risk Fund - Direct Plan Bonus
130946,INF109KA1H85,,ICICI Prudential Money Market Fund - Direct Plan Bonus
130950,INF109KA1B40,,ICICI Prudential Banking and PSU Debt Fund - Direct Plan Bonus
130952,INF109KA1I01,,ICICI Prudential Savings Fund - Direct Plan Bonus
130955,INF109KA1H02,,ICICI Prudential Gilt Fund - Direct Plan Bonus
130956,INF109KA1I50,,ICICI Prudential Short Term Gilt Fund - Direct Plan Bonus
131061,INF109KA1O37,,ICICI Prudential Constant Maturity Gilt Fund - Direct Plan - Growth
131301,INF740K019I5,,DSP 10Y G-Sec Fund - Direct Plan - Growth
133265,INF204KA1YV2,,Nippon India Gilt  Fund- Direct Plan- Growth Plan- Bonus Option
133388,INF192K01IP6,,JM Dynamic Bond Fund - (Direct) - Half Yearly Bonus Option - Principal Units
133488,INF955L01FR6,,Baroda BNP Paribas Credit Risk Fund -Direct-Growth Option
133791,INF178L01BY0,,Kotak Corporate Bond Fund- Direct Plan- Growth Option
133792,INF178L01BZ7,,Kotak Corporate Bond Fund- Direct Plan- Monthly Payout of Income Distribution cum capital withdrawal option
133810,INF178L01AX4,,Kotak Low Duration Fund- Direct Plan- Growth Option
133812,INF178L01AZ9,INF178L01AY2,Kotak Low Duration Fund - Direct Plan- Standard Income Distribution cum capital withdrawal option
133868,INF761K01DG8,,BANK OF INDIA Credit Risk  Fund - Direct Plan
133925,INF740K013Q1,,DSP Low Duration Fund - Direct Plan - Growth
134363,INF903J017I5,,Sundaram Banking & PSU Fund (Formerly Known as Sundaram Banking & PSU Debt Fund) - Direct Growth
134387,INF209KA1K88,,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Growth
134388,INF209KA1L12,,Aditya Birla Sun Life Credit Risk Fund - Direct Plan - Bonus
134494,INF082J01176,,Quantum Dynamic Bond Fund - Direct Plan Growth Option
134503,INF789FB1KE6,,UTI Medium Duration Fund - Direct Plan - Growth Option
134547,INF204KA1U53,,Nippon India Banking and PSU  Fund- Direct Plan-Growth Plan- Growth Option
134552,INF204KA1U61,,Nippon India Banking and PSU Fund- Direct Plan-Growth Plan- Bonus Option
135916,INF194KA1M23,,BANDHAN Corporate Bond Fund - Direct Growth
138299,INF223J01NS5,,PGIM India Liquid Fund - Direct Plan - Growth
138302,INF223J01NQ9,,PGIM India Insta Cash Fund - Direct Plan -  Regular Bonus
138303,INF223J01VE8,,PGIM India Insta Cash Fund - Direct Plan -Monthly Bonus
138305,INF223J01WW8,,PGIM India Insta Cash Fund - Direct Plan -  Annual Bonus Option
138330,INF223J01OO2,,PGIM India Corporate Bond Fund - Direct Plan - Growth
138333,INF223J01WG1,,PGIM India Premier Bond Fund - Direct Plan - Half-Yearly Bonus
138472,INF223J01ND7,,PGIM India Gilt Fund - Direct Plan - Growth
138476,INF223J01VM1,,PGIM India Gilt Fund - Direct Plan - Half Yearly Bonus
139257,INF192K01LA2,,JM Liquid Fund Unclaimed Redemption (Direct) Growth Plan
139259,INF192K01LC8,,JM Liquid Fund Unclaimed Redemption IEF (Direct) Growth Plan
139538,INF174V01044,,Mahindra Manulife Liquid Fund - Direct Plan -Growth
140194,INF754K01GY9,,Edelweiss Liquid Fund - Direct Plan - Bonus Option
140196,INF754K01GM4,,Edelweiss Liquid Fund - Direct Plan - Growth Option
140237,INF843K01CE1,,Edelweiss Money Market Fund - Direct Plan - Growth Option
140286,INF843K01FC8,,Edelweiss Banking and PSU Debt Fund - Direct Plan - Growth Option
140298,INF843K01GS2,,Edelweiss Government Securities Fund - Direct Plan - Growth Option
140603,INF194KA1X61,,BANDHAN Credit Risk Fund-Direct Plan-Growth
140613,INF174V01267,,Mahindra Manulife Low Duration Fund - Direct Plan -Growth
140769,INF769K01DR8,,Mirae Asset Dynamic Bond Fund -Direct Plan -Growth
141588,INF846K01ZM8,,Axis Corporate Bond Fund - Direct Plan Growth
143241,INF582M01DU5,,Union Corporate Bond Fund - Direct Plan - Growth Option
143269,INF879O01068,,Parag Parikh Liquid Fund- Direct Plan- Growth
143592,INF192K01FH9,,JM Money Market Fund (Direct) Bonus Option - Principal Units
143597,INF192K01DS1,,JM Money Market Fund (Direct) - Growth
143610,INF192K01FL1,,JM Low Duration Fund (Direct) - Bonus Option - Principal Units
143612,INF192K01DW3,,JM Low Duration Fund (Direct) - Growth
143704,INF204KB1YQ1,,Nippon India Nivesh Lakshya Long Duration Fund- Direct Plan- Growth Option
144339,INF789F1A538,,UTI Corporate Bond Fund - Direct Plan - Growth Option
144403,INF174V01580,,Mahindra Manulife Dynamic Bond Fund - Direct Plan - Growth
144646,INF740KA1KE8,,DSP Corporate Bond Fund - Direct - Growth
145050,INF903JA1FR6,,Sundaram Money Market Fund Direct Plan - Growth
145295,INF789F1ACX5,,UTI - Floater Fund - Direct Plan - Growth Option
145486,INF209KB1ZH2,,ADITYA BIRLA SUN LIFE OVERNIGHT FUND-DIRECT PLAN-GROWTH
145536,INF109KC11G1,,ICICI Prudential Overnight Fund - Direct Plan - Growth
145589,INF666M01EK5,,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund) - Direct Plan - Growth option
145591,INF666M01EQ2,INF666M01ER0,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
145595,INF666M01EO7,INF666M01EP4,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
145596,,INF666M01EL3,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)
145597,INF666M01EM1,INF666M01EN9,Groww Dynamic Bond Fund (formerly known as Indiabulls Dynamic Bond Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
145810,INF204KB1R31,,Nippon India Overnight Fund - Direct Plan - Growth Option
145834,INF247L01734,,Motilal Oswal Liquid Fund - Direct Growth
145971,INF03VN01043,,WhiteOak Capital Liquid Fund- Direct plan-Growth Option
146062,INF740KA1MC8,,DSP Overnight Fund - Direct Plan - Growth
146140,,INF174KA1BE2,Kotak Overnight Fund-Direct Plan- Daily Reinvestment of Income Distribution cum capital withdrawal option
146141,INF174KA1BF9,,Kotak Overnight Fund -Direct Plan-Growth Option
146191,INF194KB1447,,BANDHAN Overnight Fund - Direct Plan - Growth
146215,INF200KA1YR4,,SBI Corporate Bond Fund - Direct Plan - Growth
146675,INF846K01N65,,Axis Overnight Fund - Direct Plan - Growth Option
146963,INF903JA1HG5,,Sundaram Overnight Fund Direct Plan - Growth
146978,,INF277K019T3,TATA Overnight Fund Direct Plan - Daily Reinvestment of Income Distribution cum capital withdrawal option
146980,INF277K018T5,,Tata Overnight Fund-Direct Plan-Growth
147003,INF582M01FA2,,Union Overnight Fund - Direct Plan - Growth Option
147157,INF00XX01283,,ITI Liquid Fund - Direct Plan - Growth Option
147196,INF955L01HV4,,Baroda BNP Paribas Overnight Fund - Direct Plan - Growth
147214,INF090I01SS9,,Franklin India Overnight Fund- Growth - Direct
147267,,INF174KA1EF3,KOTAK FLOATING RATE FUND-DIRECT PLAN-Standard Reinvestment of Income Distribution cum capital withdrawal option
147269,INF174KA1EC0,,KOTAK FLOATING RATE FUND-DIRECT PLAN-GROWTH OPTION
147287,INF336L01OF6,,HSBC Overnight Fund - Direct Growth
147377,INF955L01ID0,,Baroda BNP Paribas Money Market Fund- Direct Plan - Growth
147450,INF666M01GL8,,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Growth Option
147451,INF666M01GN4,INF666M01GO2,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Weekly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
147452,INF666M01GP9,INF666M01GQ7,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Fortnightly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
147453,INF666M01GR5,INF666M01GS3,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- Monthly - Income Distribution cum capital withdrawal Option (Payout & Reinvestment)
147458,,INF666M01GM6,Groww Overnight Fund (formerly known as Indiabulls Overnight Fund)- Direct Plan- - Income Distribution cum capital withdrawal Option ( Reinvestment)
147515,INF767K01QI3,,LIC MF Overnight Fund-Direct Plan-Growth
147531,INF760K01JM5,,CANARA ROBECO OVERNIGHT FUND - DIRECT PLAN - GROWTH OPTION
147564,INF174V01838,,Mahindra Manulife Overnight Fund - Direct Plan -Growth
147567,INF846K01Q62,,Axis Money Market Fund - Direct Plan - Growth Option
147570,INF754K01JV9,,Edelweiss Overnight Fund - Direct Plan - Growth
147606,INF663L01T01,,PGIM India Overnight Fund - Direct Plan - Growth Option
147713,INF00XX01564,,ITI Overnight Fund - Direct Plan - Growth Option
147736,INF769K01FG6,,Mirae Asset Overnight Fund Direct Plan Growth
147837,INF192K01MB8,,JM Overnight Fund - (Direct) - Growth
147883,INF205KA1163,,Invesco India Overnight Fund - Direct Plan - Growth
147951,INF761K01EU7,,BANK OF INDIA Overnight Fund Direct Plan Growth
148078,INF204KB13M6,,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan - Bonus Option
148080,INF204KB18M5,,Nippon India Medium Duration Fund - Segregated Portfolio 1 - Direct Plan - Growth Option
148086,INF789F1APF4,,UTI - Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option
148101,INF204KB12L0,,Nippon India Credit Risk Fund - Segregated Portfolio 1 - Direct Plan - Growth Plan
148118,INF789F1APX7,,UTI - Dynamic Bond Fund (Segregated - 17022020) - Direct Plan - Growth Option
